운동 동작,대분류,난이도,부위,도구,목적,설명,영상
고관절 벌림 2,근력 /열린사슬운동 /능동,매우 쉬움,고관절&골반,"매트|  
수건",근력,수건이 잘 미끄러지는 바닥에서 운동할 발아래 수건을 두고 골반너비로 다리를 두고 누워주세요. 수건을 눌러 바깥쪽으로 다리를 벌렸다가 제자리로 돌아옵니다. 엉덩이 옆쪽 근육을 사용하는 고관절 벌림 운동입니다. 무릎은 항상 천장을 향하도록 하고 골반과 허리의 자세가 흐트러지지 않게 주의하세요. 일정 횟수 반복 후 시작자세로 돌아옵니다.,https://resources.mora.kr/static/exercise/media/471/MG/649973d7bccb036411b10487121fdcc9.mp4
고관절 벌림 3,근력 /열린사슬운동 /능동,쉬움,고관절&골반,"탄력밴드|  
매트|  
수건",근력,수건이 잘 미끄러지는 바닥에서 허벅지에는 탄력밴드를 감고 운동할 발아래에는 수건을 두어 누워주세요. 수건을 누르고 밴드를 밀면서 바깥쪽으로 다리를 벌렸다가 천천히 제자리로 돌아옵니다. 엉덩이 옆쪽 근육을 사용하는 고관절 벌림 운동입니다. 무릎은 항상 천장을 향하도록 하고 골반과 허리의 자세가 흐트러지지 않게 주의하세요. 일정 횟수 반복 후 시작자세로 돌아옵니다.,https://resources.mora.kr/static/exercise/media/473/MG/bb8f2f1d21ffdd555f70209f0b97f8c2.mp4
고관절 외회전 1,관절 움직임 /열린사슬운동 /수동,매우 쉬움,고관절&골반,매트,관절 움직임,바로 누운 자세에서 운동할 다리를 굽히고 무릎을 바깥쪽 바닥쪽으로 내려 줍니다. 동작 시 골반이 뜨지 않게 주의합니다. 고관절 외회전 동작으로 다리의 안쪽 허벅지에 스트레칭되는 느낌을 느낍니다. 일정시간 자세를 유지 후 시작자세로 돌아갑니다.,https://resources.mora.kr/static/exercise/media/17/MG/0d193ca1cf24396ec5cca101b003a1f4.mp4
고관절 외회전 2,관절 움직임 /열린사슬운동 /능동,매우 쉬움,고관절&골반,매트,관절 움직임,바로 누운 자세에서 운동할 다리를 굽히고 무릎을 바깥쪽 바닥쪽으로 내렸다가 다시 돌아옵니다. 동작 시 골반이 뜨지 않게 주의합니다. 고관절 외회전 동작으로 고관절의 움직임과 안쪽 허벅지에 스트레칭되는 느낌을 느껴주세요. 동작 중에는 항상 골반과 허리가 바닥에서 뜨지 않도록 주의 하세요. 일정 횟수 반복 후 시작자세로 돌아가 운동을 마무리합니다.,https://resources.mora.kr/static/exercise/media/18/MG/bd90981058448f19a08049b45ea69390.mp4
고관절 외회전 3,관절 움직임 /열린사슬운동 /능동,매우 쉬움,고관절&골반,매트,관절 움직임,다리를 펴고 바로 누운자세에서 운동 할 다리의 발목을 세웁니다. 뒤꿈치는 바닥에 붙인 채 다리를 가능한 범위까지 바깥쪽으로 돌립니다. 무릎은 계속 펴져 있어야 합니다. 고관절의 외회전을 하는 동작입니다. 움직임 중에 골반이나 허리가 크게 움직이지 않도록 주의하세요. 일정 횟수 반복 후 편안한 자세로 돌아와 운동을 마무리 합니다.,https://resources.mora.kr/static/exercise/media/39/MG/0e9156318fd47f8db25b578c469d317d.mp4
고관절 외회전 4,근력 /닫힌사슬운동 /능동,쉬움,고관절&골반,"탄력밴드|  
매트",근력,허벅지에 탄력밴드를 감고 무릎을 굽힌 채 누워주세요. 운동할 다리를 옆으로 내려 밴드를 밀었다가 천천히 돌아옵니다. 반대 다리는 운동하는 다리를 따라가지 않도록 제자리에서 버텨주세요. 엉덩이에서 힘쓰는 것을 느낄 수 있습니다. 운동 시 코어에 힘을 주어 골반과 허리가 움직이지 않도록 해주세요. 일정횟수 반복 후 시작자세로 돌아와 마무리합니다.,https://resources.mora.kr/static/exercise/media/408/MG/66ba0c1dba2f2e560f9798ae746a15c2.mp4
고관절 폄 1,관절 움직임 /열린사슬운동 /능동,매우 쉬움,고관절&골반,매트,관절 움직임,바로 누운자세에서 다리를 굽혀 직각을 만들고 굽힌 다리의 허벅지를 양손으로 잡습니다. 잡은 손으로 허벅지를 머리쪽으로 당겨주고 다리는 발바닥쪽으로 펴려는 힘을 줍니다. 고관절 폄을 느끼면서 자세를 유지하였다가 힘을 빼고 다시 시작자세로 돌아갑니다.,https://resources.mora.kr/static/exercise/media/6/MG/c13c1b1e03e7fd583cf88fc7380e89c5.mp4
고관절 회전 1,관절 움직임 /열린사슬운동 /능동,매우 쉬움,고관절&골반,매트,관절 움직임,다리를 펴고 바로 누운자세에서 운동 할 다리의 발목을 세웁니다. 뒤꿈치는 바닥에 붙인 채 다리를 가능한 범위까지 안쪽부터 바깥쪽 까지 돌립니다. 무릎은 계속 펴져 있어야 합니다. 고관절을 전 범위로 회전 하는 동작입니다. 움직임 중에 골반이나 허리가 크게 움직이지 않도록 주의하세요. 일정 횟수 반복 후 편안한 자세로 돌아와 운동을 마무리 합니다.,https://resources.mora.kr/static/exercise/media/40/MG/b15f90550fc226f87378cfeccffaaed0.mp4
고양이 자세,관절 움직임 /닫힌사슬운동 /능동,매우 쉬움,등|허리,매트,관절 움직임,양손과 무릎을 바닥에 두고 네발 자세를 한 다음 척추를 바르게 합니다. 고개를 들어 가슴을 앞으로 내밀며 등허리에 아치를 만들었다가 머리를 숙이면서 등허리를 둥글게 말아주세요. 척추에 유연성을 만들기 위한 동작입니다. 관절에 통증이 생기지 않도록 주의하세요. 일정 횟수 반복 후 시작자세로 돌아오세요.,https://resources.mora.kr/static/exercise/media/1077/MG/7bcb47e5bd5e3491cc9b6b68375938a1.mp4
고양이 자세 2,관절 움직임 /닫힌사슬운동 /능동,매우 쉬움,등|허리,매트,관절 움직임,양손과 무릎을 바닥에 두고 네발 자세를 한 다음 척추를 바르게 합니다. 고개를 들어 가슴을 앞으로 내밀며 등허리에 아치를 만들어주세요. 척추에 유연성을 만들기 위한 동작입니다. 허리를 과하게 젖혀 통증이 생기지 않도록 주의하세요. 일정 시간 유지 후 시작자세로 돌아오세요.,https://resources.mora.kr/static/exercise/media/1078/MG/8fe70671c7089ebd47b70ffdbd7e8d0b.mp4
고양이 자세 3,관절 움직임 /닫힌사슬운동 /능동,쉬움,등|허리,매트,관절 움직임,아래팔을 바닥에 둔 네발 자세에서 머리를 들고 등을 내렸다가 고개를 몸 쪽으로 숙이면서 등을 올려 굽혀주세요. 척추에 움직임을 만들어 주는 동작입니다. 주변 근육들이 스트레칭되는 느낌도 느낄 수 있습니다. 목이나 허리에 통증이 생기지 않아야 합니다. 일정 횟수 반복 후 시작자세로 돌아오세요.,https://resources.mora.kr/static/exercise/media/1373/MG/4b273aa60f03696b87b24706287ddf19.mp4
고양이 자세 4,관절 움직임 /닫힌사슬운동 /능동,쉬움,등|허리,매트,관절 움직임,아래팔을 바닥에 둔 네발 자세에서 머리를 들고 등을 내려주세요. 척추에 움직임을 만들어 주는 동작입니다. 주변 근육들이 스트레칭되는 느낌도 느낄 수 있습니다. 목이나 허리에 통증이 생기지 않아야 합니다. 일정 시간 유지 후 시작자세로 돌아오세요.,https://resources.mora.kr/static/exercise/media/1374/MG/99cc502773c443e4c70b455484faf5aa.mp4
고양이 자세 5,관절 움직임 /닫힌사슬운동 /능동,쉬움,등|허리,매트,관절 움직임,아래팔을 바닥에 둔 네발 자세에서 머리를 들고 등을 내렸다가 제자리로 돌아오세요. 척추에 움직임을 만들어 주는 동작입니다. 주변 근육들이 스트레칭되는 느낌도 느낄 수 있습니다. 목이나 허리에 통증이 생기지 않아야 합니다. 일정 횟수 반복 후 시작자세로 돌아오세요.,https://resources.mora.kr/static/exercise/media/1375/MG/c467bdae2198f6ac3e82568cafe3908a.mp4
골반 경사 1,관절 움직임 /능동,매우 쉬움,고관절&골반,매트,관절 움직임,바로 누운자세에서 무릎을 굽히고 발바닥은 바닥에 붙여둡니다. 아랫배를 당겨 골반을 말아 꼬리뼈가 바닥에서 뜨는 느낌으로 당겼다가 내려주세요. 코어 근육과 골반주변근육을 이용하여 골반 및 허리에 움직임을 주는 동작입니다. 일정 횟수 동작을 반복한 후 처음 자세로 돌아가 운동을 마무리합니다.,https://resources.mora.kr/static/exercise/media/2/MG/3985880ad971b444a59b402ecb70a397.mp4
골반 올리기 1,근력 /열린사슬운동 /능동,매우 쉬움,고관절&골반,매트,근력,천장을 바라보고 다리를 편 상태로 누워줍니다. 한쪽 골반을 어깨쪽으로 당겨주시고 반대쪽은 내려주세요. 다시 내린쪽 골반을 올려주시고 올린 쪽 골반을 내려주세요. 요방형근을 사용하여 골반의 움직임을 만들어 주는 동작입니다. 일정횟수 동작을 반복한 후 처음 자세로 돌아가 운동을 마무리합니다.,https://resources.mora.kr/static/exercise/media/1/MG/ee0498b59f4472b221f5763ff86480cd.mp4
공 잡고 팔 뻗어 번갈아 사이드 런지,근력 /닫힌사슬운동 /능동,보통,고관절&골반|무릎,작은공,근력,바르게 선 자세에서 공을 잡고 두 팔을 앞으로 올려주세요. 팔을 어깨 높이로 유지하면서 한쪽 다리를 옆으로 내디뎌주세요. 내딛는 다리를 굽히며 앉아 주세요. 반대쪽 다리는 곧게 펴 주시고 허리는 꼿꼿하게 유지해 주세요. 구부린 다리로 바닥을 밀어 시작자세로 돌아간 다음 반대쪽으로 똑같이 움직여주세요. 다리를 굽힐 때에는 무릎이 발목 위에 오도록 엉덩이를 뒤로하여 앉아주세요. 무릎이나 허리에 통증이 생기지 않도록 주의하세요. 번갈아 일정 횟수 반복 후 시작자세로 돌아오세요.,https://resources.mora.kr/static/exercise/media/2935/MG/9f57a9cc4d77b300c0226380cb6b00c6.mp4
공 쥐고 손목 바깥쪽으로 돌리기,근력 /열린사슬운동 /능동,매우 쉬움,손목&손,"작은공|  
의자|  
테이블|  
침대",근력,팔꿈치를 굽혀 책상 위에 팔을 올리고 앉아주세요. 운동할 손으로 공을 잡아주세요. 손으로 원을 그리듯이 손목을 바깥 방향으로 돌려주세요. 움직이는 동안 팔꿈치나 아래팔이 최대한 움직이지 않도록 해주세요. 손목에 통증이 없는 범위 안에서 움직여주세요. 일정 횟수 반복 후 시작자세로 돌아오세요.,https://resources.mora.kr/static/exercise/media/2105/MG/d8b7e36c0bbcbb7fc68835c52d4e5a7d.mp4
공 쥐고 손목 안쪽으로 돌리기,근력 /열린사슬운동 /능동,매우 쉬움,손목&손,"작은공|  
의자|  
테이블|  
침대",근력,팔꿈치를 굽혀 책상 위에 팔을 올리고 앉아주세요. 운동할 손으로 공을 잡아주세요. 손으로 원을 그리듯이 손목을 안쪽으로 돌려주세요. 움직이는 동안 팔꿈치나 아래팔이 최대한 움직이지 않도록 해주세요. 손목에 통증이 없는 범위 안에서 움직여주세요. 일정 횟수 반복 후 시작자세로 돌아오세요.,https://resources.mora.kr/static/exercise/media/2106/MG/fbee93bc5ffd81964e61c44065ef218f.mp4
기대앉아 무릎 굽혀 한쪽 고관절 돌림,관절 움직임 /열린사슬운동 /능동,쉬움,고관절&골반,매트,관절 움직임,팔을 뒤로 기대앉아 움직일 다리의 무릎은 굽혀 옆에 세우고 반대 다리는 펴 주세요. 옆에 세운 다리의 무릎을 가능한 만큼 바닥 쪽으로 내렸다 다시 들어 가능한 만큼 바깥쪽으로 보내주세요. 고관절의 움직임을 만들어 주는 동작으로 관절에 통증이 생기지 않는 범위 안에서 움직여주세요. 허리의 자세가 무너지지 않도록 주의해 주세요. 일정 횟수 반복 후 시작자세로 돌아오세요.,https://resources.mora.kr/static/exercise/media/2808/MG/6bcb71df9404583c1f7888a61d9e754b.mp4
깍지 끼고 앞으로 손 뻗기,관절 움직임 /닫힌사슬운동 /능동,매우 쉬움,손목&손,-,관절 움직임,선 자세에서 깍지 낀 양손을 손바닥이 앞으로 향하도록 돌려 팔꿈치를 펴면서 뻗어주세요. 손바닥에서 아래팔 안쪽으로 스트레칭되는 것을 느껴주세요. 손목에 통증이 생기지 않도록 주의하세요. 일정 시간 유지 후 손을 풀어 시작자세로 돌아오세요.,https://resources.mora.kr/static/exercise/media/1672/MG/a4c8a28d8d150f643b91e31d54ab134e.mp4
나비자세,관절 움직임 /열린사슬운동 /능동,매우 쉬움,고관절&골반,매트,관절 움직임,앉은 자세에서 두 발의 발바닥을 마주하게 둡니다. 손으로 양쪽 무릎을 바닥으로 눌러 주고 상체를 가능한 만큼 앞으로 숙여줍니다. 허벅지 안쪽에서 스트레칭 되는 것을 느껴 줍니다. 스트레칭 중 골반이나 허리에 자세가 흐트러지거나 통증이 생기지 않도록 주의하세요. 편한 호흡과 함께 자세를 일정시간 유지 한 뒤 시작 자세로 돌아와 마무리합니다.,https://resources.mora.kr/static/exercise/media/135/MG/20b539d6a64615ab38e03e4965922d34.mp4
낙타 자세,관절 움직임 /닫힌사슬운동 /능동,매우 쉬움,등|허리,매트,관절 움직임,양손과 무릎을 바닥에 두고 네발 자세를 한 다음 척추를 바르게 합니다. 손바닥으로 바닥을 밀면서 머리를 숙인 뒤 등허리를 둥글게 말아주세요. 척추에 유연성을 만들기 위한 동작입니다. 관절에 통증이 생기지 않도록 주의하세요. 일정 시간 유지 후 시작자세로 돌아오세요.,https://resources.mora.kr/static/exercise/media/1079/MG/5f32a17b5d2135593af9eb2719f118f9.mp4
낙타 자세 2,관절 움직임 /닫힌사슬운동 /능동,쉬움,등|허리,매트,관절 움직임,아래팔을 바닥에 둔 네발 자세에서 고개를 몸 쪽으로 숙이면서 등을 올려 굽혀주세요. 척추에 움직임을 만들어 주는 동작입니다. 주변 근육들이 스트레칭되는 느낌도 느낄 수 있습니다. 목이나 허리에 통증이 생기지 않아야 합니다. 일정 시간 유지 후 시작자세로 돌아오세요.,https://resources.mora.kr/static/exercise/media/1376/MG/94d42196262d3bd06b2dc620c4d1003d.mp4
낙타 자세 3,관절 움직임 /닫힌사슬운동 /능동,쉬움,등|허리,매트,관절 움직임,아래팔을 바닥에 둔 네발 자세에서 고개를 몸 쪽으로 숙이면서 등을 올려 굽혔다가 제자리로 돌아오세요. 척추에 움직임을 만들어 주는 동작입니다. 주변 근육들이 스트레칭되는 느낌도 느낄 수 있습니다. 목이나 허리에 통증이 생기지 않아야 합니다. 일정 횟수 반복 후 시작자세로 돌아오세요.,https://resources.mora.kr/static/exercise/media/1377/MG/0dd2f0e0f3ad283928de0a1982940393.mp4
날개뼈 사이 스트레칭,관절 움직임 /닫힌사슬운동 /능동,매우 쉬움,등|어깨,매트,관절 움직임,무릎을 꿇어앉은 자세에서 스트레칭할 쪽의 손을 반대 무릎 아래에 두어 고정한 다음 엉덩이를 들고 등을 둥글게 말아주세요. 등 뒤 날개뼈 사이에서 스트레칭되는 것을 느껴주세요. 등이 고정된 손에서 멀어질수록 스트레칭이 강하게 될 것입니다. 다른 관절에 통증이 생기지 않도록 주의하세요. 일정 시간 유지 후 시작자세로 돌아오세요.,https://resources.mora.kr/static/exercise/media/1833/MG/f238d474552207e9a3516b7277e09052.mp4
